t,snr_db
0,-0.5389690203529267
1,-2.441866645632954
2,-0.7597093453832795
3,0.7017808518851028
4,-0.19809308384188445
5,0.5199574310030347
6,-1.6515809534097465
7,-0.6773169588205007
8,-0.6646272262326735
9,-1.6811072148716157
10,-1.4327367537731586
11,1.8133575161831403
12,0.7895487881079712
13,0.6402849053185113
14,-0.15511152517752427
15,0.20712397429002277
16,0.7790016682774777
17,0.5466948093298707
18,-1.1217465716449955
19,0.5673600872781462
20,1.0824051701298816
21,0.6137257714692409
22,-0.05619248811950657
23,1.348281915243098
24,2.174576084017792
25,0.8432831603214778
26,1.7975854062361283
27,-1.141715082797342
28,-0.9171742457584934
29,0.3506347558482142
30,0.15523458083955566
31,-1.7688255075629586
32,1.0262592269084683
33,1.0377617641232724
34,-0.5849302908007318
35,0.17278667373147089
36,1.5198467925976922
37,1.196805764738728
38,-0.20128900538686428
39,1.8472524597804576
40,0.8903562474049924
41,0.6095007518217401
42,1.8614751521564687
43,0.24266986572683572
44,-0.6615567428361304
45,-2.8975960480038756
46,-1.609352238226182
47,-0.3124223378405143
48,-0.0005655605321230105
49,-1.0773331590483546
50,-0.0034569477574328926
51,0.7164387133526796
52,0.7873794491761389
53,1.9064239970431653
54,10.349439945320697
55,9.052943688809638
56,9.15359020192192
57,8.260715005478986
58,10.85277507456118
59,9.610273550977098
60,11.784612401676478
61,11.564607112303749
62,9.443065354416767
63,11.501568594784528
64,8.840894926796542
65,7.666026787262771
66,10.772932778454873
67,8.389677136284805
68,8.860254699950666
69,10.21677955894164
70,11.178199263645443
71,8.239266875451898
72,9.102648534528662
73,11.164109802043583
74,10.902755026878673
75,10.375662129037291
76,10.668454337171694
77,10.721706027505762
78,7.896428463413155
79,10.579235515921527
80,10.258381906736323
81,8.967807396057982
82,8.95066403411148
83,10.221891255832155
84,8.506477272464155
85,10.533721765206149
86,8.995145564804492
87,11.260670235095548
88,10.35010699947095
89,9.635737258895292
90,9.61325206223846
91,9.926331644628574
92,10.567900006491247
93,8.601588747248769
94,10.319598692518804
95,10.630960715564433
96,8.581150901774686
97,11.83593898478467
98,10.079636367442186
99,11.044489957734694
100,10.302743540602895
101,13.232486007164251
102,9.492840567443853
103,8.705748346273435
104,9.989899800347937
105,7.775802423534154
106,9.362223748001954
107,8.72159595741397
108,8.635037686641093
109,11.176977034479533
110,9.604498002324407
111,9.40727292871549
112,9.15389267400547
113,10.56442874699099
114,9.247126511274645
115,8.954320243735342
116,9.815103355251512
117,9.77702690478558
118,10.18388013778366
119,0.9219052759796604
120,-0.31500046196718545
121,1.6533921050772384
122,-1.1407577617052447
123,-1.496823531882599
124,-0.8226197613413093
125,0.15710657563638142
126,0.46207180492336575
127,-2.0713659493803798
128,-2.211877459336814
129,-0.0885570658436478
130,-0.13862347508517675
131,0.8305113028529545
132,8.910764416424042
133,9.662044150595129
134,9.76242227155076
135,9.59526980647115
136,10.512710056881726
137,9.729943332827988
138,9.014680377821474
139,10.784113997204807
140,10.602848110872852
141,10.18668027745516
142,9.0406342138095
143,10.554810761239295
144,10.216881852632339
145,9.934569882330493
146,8.678751059873186
147,9.618288158408905
148,11.08974230345722
149,8.35531992022508
150,10.348064433188238
151,10.427052706884595
152,10.72468674723355
153,10.838601961746297
154,10.511724320109378
155,10.357339774468214
156,8.496724959852745
157,8.519254909762859
158,10.764253564026324
159,9.178256034302988
160,9.961710255423077
161,9.18639013274605
162,10.542762637526147
163,10.57491269482308
164,10.853959291221567
165,9.361323654770851
166,10.028120951658115
167,7.628346698242446
168,10.17497651858625
169,9.589375430322027
170,11.5081601113563
171,9.031330099011175
172,9.112715073561008
173,8.98676372865948
174,9.18432660409758
175,10.892369330037065
176,9.948003094846857
177,11.512199659481706
178,10.287978057913005
179,11.841413583360286
180,10.710224745942845
181,10.31156245932646
182,11.150650632781334
183,9.323462531280605
184,8.01806750822544
185,10.725379234841709
186,9.870835785368298
187,10.01279449679103
188,10.733910514712724
189,10.891828934455
190,10.739900431981582
191,8.755574370085796
192,-6.335883561983838
193,-4.549234190184609
194,-5.537055184680296
195,-4.902195131669017
196,-5.42218431822118
197,-4.479712355354006
198,-5.895319151488998
199,-5.119105165090375
200,-3.5502145886914716
201,-4.55573256219114
202,-5.1815916401708675
203,-4.897816505939864
204,-4.212791006686649
205,-3.9689605042932268
206,-4.435751227620653
207,-4.241454859493356
208,-5.068634761104787
209,-4.717048111372424
210,-5.4108561649711175
211,-4.354491932120585
212,-6.09774904981401
213,-3.7567822905880837
214,-3.9892911759539076
215,-5.133473658271425
216,-5.998968075121652
217,-5.752866627354071
218,-4.959840122312093
219,-5.414379995612597
220,-6.321367361424557
221,-5.194136388765675
222,-4.94160133317946
223,-2.793726961636567
224,-3.940315441568535
225,-6.622721028193327
226,-4.129806909521428
227,-4.546396106020845
228,-4.626607380842143
229,-5.399847057912315
230,-5.688725925274157
231,-6.524544579409627
232,-5.361810731510406
233,-4.661316709859995
234,-5.307652330390424
235,-3.467377733040534
236,-5.195977945280257
237,-6.137310124314217
238,-4.976735215989285
239,-5.859384356912391
240,-4.958443112564878
241,-5.5534589122495515
242,-4.566513413915568
243,-5.0813194439336895
244,-6.507494659333849
245,-4.436427176698714
246,-4.787373744719873
247,-5.200469319767462
248,-4.488975528727191
249,-3.285172779430126
